agostinoagazzari|Agostino Agazzari|Agazzari, Agostino|Agazzari, Agostino (1578-1640)|Composer|Baroque
agostinosteffani|Agostino Steffani|Steffani, Agostino|Steffani, Agostino (1654-1728)|Composer|Baroque
agrell|Johan Agrell|Agrell, Johan|Agrell, Johan (1701-1765)|Composer|Classical
agricola|Alexander Agricola|Agricola, Alexander|Agricola, Alexander (c1446-1506)|Composer|Renaissance
ahle|Johann Georg Ahle|Ahle, Johann Georg|Ahle, Johann Georg (1651-1706)|Composer|Baroque
ahlefeldt|Maria Theresia Ahlefeldt|Ahlefeldt, Maria Theresia|Ahlefeldt, Maria Theresia (1755-1810)|Composer|Classical
ahmetertegun|Ahmet Ertegun|Ertegun, Ahmet|Ertegun, Ahmet|Composer|
aho|Kalevi Aho|Aho, Kalevi|Aho, Kalevi (b1949)|Composer|20th Century
aich|Bartholomäus Aich|Aich, Bartholomäus|Aich, Bartholomäus (fl 1648)|Composer|Baroque
aichelburg|Karl Stefan Aichelburg|Aichelburg, Karl Stefan|Aichelburg, Karl Stefan (1782-1817)|Composer|Romantic
aichinger|Gregor Aichinger|Aichinger, Gregor|Aichinger, Gregor (c1565-1628)|Composer|Baroque
akademiefuraltemusikberlin|Akademie für Alte Musik, Berlin|Akademie für Alte Musik, Berlin||Orchestra|
akademischesorchesterfreiburg|Akademisches Orchester Freiburg|Akademisches Orchester Freiburg||Orchestra|
alain|Jehan Alain|Alain, Jehan|Alain, Jehan (1911-1940)|Composer|20th Century
alainackermann|Alain Ackermann|Ackermann, Alain|Ackermann, Alain|Composer|
alainjohannes|Alain Johannes|Johannes, Alain|Johannes, Alain|Composer|
alanbush|Alan Bush|Bush, Alan|Bush, Alan (1900-1995)|Composer|20th Century
alanclare|Alan Clare|Clare, Alan|Clare, Alan (1921–1993)|Composer|20th Century
alancuckston|Alan Cuckston|Cuckston, Alan||Conductor|
alangilbert|Alan Gilbert|Gilbert, Alan||Conductor|
alangratzer|Alan Gratzer|Gratzer, Alan|Gratzer, Alan|Composer|
alanhovhaness|Alan Hovhaness|Hovhaness, Alan|Hovhaness, Alan (1911-2000)|Composer|20th Century
albatrissina|Alba Trissina|Trissina, Alba|Trissina, Alba (born 1622)|Composer|Baroque
albeniz|Isaac Albéniz|Albéniz, Isaac|Albéniz, Isaac (1860-1909)|Composer|Romantic
albergati|Pirro Capacelli Albergati|Albergati, Pirro Capacelli|Albergati, Pirro Capacelli (1663-1735)|Composer|Baroque
albericmagnard|Albéric Magnard|Magnard, Albéric|Magnard, Albéric (1865-1914)|Composer|Romantic
albert|Heinrich Albert|Albert, Heinrich|Albert, Heinrich (1604-1651)|Composer|Baroque
albertbouchard|Albert Bouchard|Bouchard, Albert|Bouchard, Albert|Composer|
alberti|Domenico Alberti|Alberti, Domenico|Alberti, Domenico (c1710-1740)|Composer|Baroque
albertini|Ignazio Albertini|Albertini, Ignazio|Albertini, Ignazio (1644-1685)|Composer|Baroque
albertketelbey|Albert Ketèlbey|Ketèlbey, Albert|Ketèlbey, Albert (1875-1959)|Composer|Romantic
albertodaripa|Alberto Da Ripa|Da Ripa, Alberto|Da Ripa, Alberto (c. 1500–1551)|Composer|Renaissance
albertoginastera|Alberto Ginastera|Ginastera, Alberto|Ginastera, Alberto (1916-1983)|Composer|20th Century
albertonepomuceno|Alberto Nepomuceno|Nepomuceno, Alberto|Nepomuceno, Alberto (1864-1920)|Composer|Romantic
albertowilliams|Alberto Williams|Williams, Alberto|Williams, Alberto (1862-1952)|Composer|Romantic
albertroussel|Albert Roussel|Roussel, Albert|Roussel, Albert (1869-1937)|Composer|Romantic
albertusbryne|Albertus Bryne|Bryne, Albertus|Bryne, Albertus (1621-1668)|Composer|Baroque
albinoni|Tomaso Albinoni|Albinoni, Tomaso|Albinoni, Tomaso (1671-1751)|Composer|Baroque
albrechtsberger|Johann Georg Albrechtsberger|Albrechtsberger, Johann Georg|Albrechtsberger, Johann Georg (1736-1809)|Composer|Classical
albrici|Vincenzo Albrici|Albrici, Vincenzo|Albrici, Vincenzo (1631-1696)|Composer|Baroque
alcock|John Alcock|Alcock, John|Alcock, John (1715-1806)|Composer|Classical
aldebrandosubissati|Aldebrando Subissati|Subissati , Aldebrando|Subissati , Aldebrando (1606-1677)|Composer|Baroque
aldrovandini|Giuseppe Aldrovandini|Aldrovandini, Giuseppe|Aldrovandini, Giuseppe (1671-1707)|Composer|Baroque
alecwilder|Alec Wilder|Wilder, Alec|Wilder, Alec|Composer|
aleotti|Vittoria Aleotti|Aleotti, Vittoria|Aleotti, Vittoria (c1575-after 1620)|Composer|Baroque
alexandergibson|Sir Alexander Gibson|Gibson, Sir Alexander|Gibson, Sir Alexander|Conductor|
siralexandergibson|Sir Alexander Gibson|Gibson, Sir Alexander|Gibson, Sir Alexander|Conductor|
alessandrobesozzi|Alessandro Besozzi|Besozzi, Alessandro|Besozzi, Alessandro (1702-1775)|Composer|Classical
alessandrograndi|Alessandro Grandi|Grandi, Alessandro|Grandi, Alessandro (1586-1630)|Composer|Baroque
alessandromarcello|Alessandro Marcello|Marcello, Alessandro|Marcello, Alessandro (1684-1750)|Composer|Baroque
alessandromelani|Alessandro Melani|Melani, Alessandro|Melani, Alessandro (1639-1703)|Composer|Baroque
alessandropiccinini|Alessandro Piccinini|Piccinini, Alessandro|Piccinini, Alessandro (1566-1638)|Composer|Baroque
alessandropoglietti|Alessandro Poglietti|Poglietti, Alessandro|Poglietti, Alessandro (early 17th century-1683)|Composer|Baroque
alessandrorolla|Alessandro Rolla|Rolla, Alessandro|Rolla, Alessandro (1757-1841)|Composer|Classical
alessandroscarlatti|Alessandro Scarlatti|Scarlatti, Alessandro|Scarlatti, Alessandro (1660-1725)|Composer|Baroque
alessandrostradella|Alessandro Stradella|Stradella, Alessandro|Stradella, Alessandro (1639-1682)|Composer|Baroque
alessiacaracciolo|Alessia Caracciolo|Caracciolo, Alessia|Caracciolo, Alessia|Composer|
alexander|Alex Ander|Ander, Alex|Ander, Alex|Composer|
alexanderagricola|Alexander Agricola|Agricola, Alexander|Agricola, Alexander (c1446-1506)|Composer|Renaissance
alexanderalyabyev|Alexander Alyabyev|Alyabyev, Alexander|Alyabyev, Alexander (1787-1851)|Composer|Romantic
alexanderarutiunian|Alexander Arutiunian|Arutiunian, Alexander|Arutiunian, Alexander (1920-2012)|Composer|20th Century
alexanderblachly|Alexander Blachly|Blachly, Alexander||Conductor|
alexanderborodin|Alexander Borodin|Borodin, Alexander|Borodin, Alexander (1833-1887)|Composer|Romantic
alexanderdargomyzhsky|Alexander Dargomyzhsky|Dargomyzhsky, Alexander|Dargomyzhsky, Alexander (1813-1869)|Composer|Romantic
alexanderdreyschock|Alexander Dreyschock|Dreyschock, Alexander|Dreyschock, Alexander (1818-1869)|Composer|Romantic
alexanderglazunov|Alexander Glazunov|Glazunov, Alexander|Glazunov, Alexander (1865-1936)|Composer|Romantic
alexandergoedicke|Alexander Goedicke|Goedicke, Alexander|Goedicke, Alexander (1887-1957)|Composer|20th Century
alexanderkimlange|Alexander Kim Lange|Lange, Alexander Kim|Lange, Alexander Kim|Composer|
alexanderkoshetz|Alexander Koshetz|Koshetz, Alexander|Koshetz, Alexander (1875-1944)|Composer|Romantic
alexanderkronlund|Alexander Kronlund|Kronlund, Alexander|Kronlund, Alexander|Composer|
alexanderkrull|Alexander Krull|Krull, Alexander|Krull, Alexander|Composer|
alexandermaasmann|Alexander Maasmann|Maasmann, Alexander|Maasmann, Alexander (fl1713)|Composer|Baroque
alexanderreinagle|Alexander Reinagle|Reinagle, Alexander|Reinagle, Alexander (1756-1809)|Composer|Classical
alexanderscriabin|Alexander Scriabin|Scriabin, Alexander|Scriabin, Alexander (1872-1915)|Composer|Romantic
alexandervonzemlinsky|Alexander von Zemlinsky|Zemlinsky, Alexander von|Zemlinsky, Alexander von (1871-1942)|Composer|Romantic
alexandredubuque|Alexandre Dubuque|Dubuque, Alexandre|Dubuque, Alexandre (1812-1898)|Composer|Romantic
alexandreluigini|Alexandre Luigini|Luigini, Alexandre|Luigini, Alexandre (1850-1906)|Composer|Romantic
alexandrepierrefrancoisboely|Alexandre Pierre François Boëly|Boëly, Alexandre Pierre François|Boëly, Alexandre Pierre François (1785-1858)|Composer|Romantic
alexandromarieantoinfridzeri|Alexandro Marie Antoin Fridzeri|Fridzeri, Alexandro Marie Antoin|Fridzeri, Alexandro Marie Antoin (1741-1819)|Composer|Classical
alexeykolygin|Alexey Kolygin|Kolygin, Alexey|Kolygin, Alexey|Composer|
alexeynikolayevichtitov|Alexey Nikolayevich Titov|Titov, Alexey Nikolayevich|Titov, Alexey Nikolayevich (1769-1827)|Composer|Classical
alexstaropoli|Alex Staropoli|Staropoli, Alex|Staropoli, Alex|Composer|
alfano|Franco Alfano|Alfano, Franco|Alfano, Franco (1875-1954)|Composer|Romantic
alfonsoferrabosco|Alfonso Ferrabosco|Ferrabosco, Alfonso|Ferrabosco, Alfonso (1543-1588)|Composer|Renaissance
alfonsoferraboscotheyounger|Alfonso Ferrabosco the younger|Ferrabosco, Alfonso|younger, Alfonso Ferrabosco the (c1575-1628)|Composer|Baroque
alfonsofontanelli|Alfonso Fontanelli|Fontanelli, Alfonso|Fontanelli, Alfonso (1557-1622)|Composer|Baroque
alford|Kenneth Alford|Alford, Kenneth|Alford, Kenneth (1881-1945)|Composer|
alfredburt|Alfred Burt|Burt, Alfred|Burt, Alfred|Composer|
alfredgehardt|Alfred Gehardt|Gehardt, Alfred||Conductor|
alfredhill|Alfred Hill|Hill, Alfred|Hill, Alfred (1869-1960)|Composer|Romantic
alfredocatalani|Alfredo Catalani|Catalani, Alfredo|Catalani, Alfredo (1854-1893)|Composer|Romantic
alfredodambrosio|Alfredo D'Ambrosio|D'Ambrosio, Alfredo|D'Ambrosio, Alfredo (1871-1914)|Composer|Romantic
alfredreed|Alfred Reed|Reed, Alfred|Reed, Alfred (1921-2005)|Composer|20th Century
alfredschnittke|Alfred Schnittke|Schnittke, Alfred||Conductor|
alfredscholz|Alfred Scholz|Scholz, Alfred||Conductor|
alfven|Hugo Alfvén|Alfvén, Hugo|Alfvén, Hugo (1872-1960)|Composer|Romantic
algreenwood|Al Greenwood|Greenwood, Al|Greenwood, Al|Composer|
alistairdixon|Alistair Dixon|Dixon, Alistair||Conductor|
alkan|Charles-Valentin Alkan|Alkan, Charles-Valentin|Alkan, Charles-Valentin (1813-1888)|Composer|Romantic
allegri|Domenico Allegri|Allegri, Domenico|Allegri, Domenico (1585-1629)|Composer|Baroque
allen|Euphemia Allen|Allen, Euphemia|Allen, Euphemia (1861-1948)|Composer|Romantic
allencollins|Allen Collins|Collins, Allen|Collins, Allen|Composer|
allenshearer|Allen Shearer|Shearer, Allen|Shearer, Allen|Composer|
allison|Richard Allison|Allison, Richard|Allison, Richard (1560/1570-before 1610)|Composer|Baroque
almamahler|Alma Mahler|Mahler, Alma|Mahler, Alma (1879-1964)|Composer|Romantic
almeida|Francisco António de Almeida|Almeida, Francisco António de|Almeida, Francisco António de (1702-1755)|Composer|Classical
alonsolobo|Alonso Lobo|Lobo, Alonso|Lobo, Alonso (1555-1617)|Composer|Baroque
alonsomudarra|Alonso Mudarra|Mudarra, Alonso|Mudarra, Alonso (1510-1570)|Composer|Renaissance
alpaerts|Flor Alpaerts|Alpaerts, Flor|Alpaerts, Flor (1876-1954)|Composer|Romantic
alphonsedeve|Alphonse d'Eve|d'Eve, Alphonse|d'Eve, Alphonse (1666-1727)|Composer|Baroque
altenburg|Michael Altenburg|Altenburg, Michael|Altenburg, Michael (1584-1640)|Composer|Baroque
alterbridge|Alter Bridge|Bridge, Alter|Bridge, Alter|Composer|
